Task,table path,table,task ID,type of task,repetation,Condition,Order,C_answer,Participant ID,c_answer_row,c_answer_col,end,text,ans_value,mouse_file
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey. After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task.",candy.csv_bar.png,candy.csv,ca-9,Describing,1,bar,b-c-z-p,Candy Name,1,1,#1,True,"You have finished one condition for the task.

",0,1
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey . After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task ",cereal.csv_color.png,cereal.csv,ce-9,Describing,1,color,b-c-z-p,Cereal Name,1,1,#1,True,"You have finished one condition for the task.
",0,2
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey. After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task.",anime.csv_zebra.png,anime.csv,a-9,Describing,1,zebra,b-c-z-p,Name,1,1,#1,True,"You have finished one condition for the task.
",0,3
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey. After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task.",movie.csv_plain.png,movie.csv,m-9,Describing,1,plain,b-c-z-p,Film,1,1,#1,True,"You have finished one type of task. 

",0,4
"Find the name of the Candy which has the highest ‘Pluribus’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white.  ",candy.csv_bar.png,candy.csv,ca-1-1,finding maximum vertical,1,bar,b-c-z-p,Pixie Sticks,1,20,#1,,,64,5
"Find the name of the Candy which has the highest ‘Hard’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white.",candy.csv_bar.png,candy.csv,ca-2-1,finding maximum vertical,2,bar,b-c-z-p,Good Bar,1,11,#1,,,63,6
"Find the name of the Candy which has the highest ‘Rating’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-3-1,finding maximum vertical,3,bar,b-c-z-p,Fruit Chews,1,17,#1,,,96,7
"Find the name of the Candy which has the highest ‘Bar’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-4-1,finding maximum vertical,4,bar,b-c-z-p,Now Later,1,10,#1,True,"You have finished one condition for the task.
",45,8
"Find the name of the cereal which has the highest ‘Potassium’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.  ",cereal.csv_color.png,cereal.csv,ce-1-1,finding maximum vertical,1,color,b-c-z-p,Cinnamon Toast,1,8,#1,,,80,9
"Find the name of the cereal which has the highest ‘Carbo’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.",cereal.csv_color.png,cereal.csv,ce-2-1,finding maximum vertical,2,color,b-c-z-p,Fruit Fibre,1,29,#1,,,52,10
"Find the name of the cereal which has the highest ‘Iron’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white. ",cereal.csv_color.png,cereal.csv,ce-3-1,finding maximum vertical,3,color,b-c-z-p,Cinnamon Toast,1,8,#1,,,66,11
"Find the name of the cereal which has the highest ‘Sugars’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white. ",cereal.csv_color.png,cereal.csv,ce-4-1,finding maximum vertical,4,color,b-c-z-p,Sweet Combo,1,12,#1,True,"You have finished one condition for the task.
",59,12
"Find the name of the Anime which has the highest ‘Completed’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white.",anime.csv_zebra.png,anime.csv,a-1-1,finding maximum vertical,1,zebra,b-c-z-p,Magical Warfare,1,25,#1,,,73,13
"Find the name of the Anime which has the highest ‘Favorites’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white.",anime.csv_zebra.png,anime.csv,a-2-1,finding maximum vertical,2,zebra,b-c-z-p,Monster Hunter,1,6,#1,,,89,14
"Find the name of the Anime which has the highest ‘Dropped’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white. ",anime.csv_zebra.png,anime.csv,a-3-1,finding maximum vertical,3,zebra,b-c-z-p,Fourth Stage,1,5,#1,,,98,15
"Find the name of the Anime which has the highest ‘Watching’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white. ",anime.csv_zebra.png,anime.csv,a-4-1,finding maximum vertical,4,zebra,b-c-z-p,Best Humanity,1,27,#1,True,"You have finished one condition for the task.
",69,16
"Find the name of the film which has the highest ‘Roger Ebert’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_plain.png,movie.csv,m-1-1,finding maximum vertical,1,plain,b-c-z-p,Running Night,1,12,#1,,,55,17
"Find the name of the film which has the highest ‘Hulu’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.  ",movie.csv_plain.png,movie.csv,m-2-1,finding maximum vertical,2,plain,b-c-z-p,Fantastic Four,1,21,#1,,,65,18
"Find the name of the film which has the highest ‘Naver’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_plain.png,movie.csv,m-3-1,finding maximum vertical,3,plain,b-c-z-p,Water Diviner,1,19,#1,,,64,19
"Find the name of the film which has the highest ‘Film Comment’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_plain.png,movie.csv,m-4-1,finding maximum vertical,4,plain,b-c-z-p,About Elly,1,16,#1,True,"You have finished one type of task. Please take the survey that experimenter will hand it to you.
You might want to take a short break and wait for experimenter’s response.

",59,20
"For the Candy called ‘Haribo Cola’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-1-2,finding maximum horizontal,1,bar,b-c-z-p,Hard,1,1,#7,,,53,21
"For the Candy called ‘Berry Chews’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-2-2,finding maximum horizontal,2,bar,b-c-z-p,Rating,1,1,#11,,,48,22
"For the Candy called ‘Pop Rocks’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-3-2,finding maximum horizontal,3,bar,b-c-z-p,Hard,1,1,#7,,,53,23
"For the Candy called ‘Junior Mints’, find which attribute has the largest numerical value.

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-4-2,finding maximum horizontal,4,bar,b-c-z-p,Almond,1,1,#5,True,"You have finished one condition for the task.
",38,24
"For the cereal called ‘Smile Maker’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white.",cereal.csv_color.png,cereal.csv,ce-1-2,finding maximum horizontal,1,color,b-c-z-p,Sugars,1,1,#8,,,53,25
"For the cereal called ‘Froot Loops’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",cereal.csv_color.png,cereal.csv,ce-2-2,finding maximum horizontal,2,color,b-c-z-p,Calories,1,1,#4,,,92,26
"For the cereal called ‘Lucky Charms’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",cereal.csv_color.png,cereal.csv,ce-3-2,finding maximum horizontal,3,color,b-c-z-p,Fat,1,1,#2,,,47,27
"For the cereal called ‘Sweet Combo’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",cereal.csv_color.png,cereal.csv,ce-4-2,finding maximum horizontal,4,color,b-c-z-p,Sugars,1,1,#8,True,"You have finished one condition for the task.
",59,28
"For the Anime called ‘Metal Panic’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white.",anime.csv_zebra.png,anime.csv,a-1-2,finding maximum horizontal,1,zebra,b-c-z-p,On-Hold,1,1,#10,,,61,29
