participant ID,P_answer,start time,end time,start time_e,end time_e,start time_t,time spent,Task ID,trial,Repetition,Condition,Order of table,Correct Answer,col,row,Answer row,Answer column,error,isPerfect,ans_value
2,Pixie Sticks,00:40,01:05,1657738781416.1257,1657738806136.0303,1657738754742.8494,24.719904541015627,ca-1-1,5,1,bar,b-c-p-z,Pixie Sticks,#1,20,20,#1,False,True,64
2,Good Bar,02:02,02:12,1657738862530.6465,1657738872551.8755,1657738857263.0864,10.02122900390625,ca-2-1,6,2,bar,b-c-p-z,Good Bar,#1,11,11,#1,False,True,63
2,Fruit Chews,02:24,02:36,1657738884442.6523,1657738896289.7202,1657738879247.9011,11.84706787109375,ca-3-1,7,3,bar,b-c-p-z,Fruit Chews,#1,17,17,#1,False,True,96
2,Caramel Apple,02:47,02:58,1657738908249.6157,1657738918655.2253,1657738903494.8613,10.405609619140625,ca-4-1,8,4,bar,b-c-p-z,Now Later,#1,26,10,#1,False,False,45
2,Cinnamon Toast,03:18,03:28,1657738939082.2551,1657738948919.6116,1657738934678.1724,9.8373564453125,ce-1-1,9,1,color,b-c-p-z,Cinnamon Toast,#1,8,8,#1,False,True,80
2,Fruit Fibre,03:41,03:50,1657738962104.0947,1657738971223.4236,1657738955662.3982,9.119328857421875,ce-2-1,10,2,color,b-c-p-z,Fruit Fibre,#1,29,29,#1,False,True,52
2,Cinnamon Toast,04:07,04:18,1657738988776.5151,1657738998647.3064,1657738985871.6477,9.870791259765625,ce-3-1,11,3,color,b-c-p-z,Cinnamon Toast,#1,8,8,#1,False,True,66
2,Sweet Combo,04:30,04:39,1657739010860.5916,1657739019574.8972,1657739005430.4495,8.7143056640625,ce-4-1,12,4,color,b-c-p-z,Sweet Combo,#1,12,12,#1,False,True,59
2,Mobile Phone,04:55,05:05,1657739035715.7368,1657739045567.8477,1657739031190.6199,9.85211083984375,a-1-1,13,1,plain,b-c-p-z,Magical Warfare,#1,18,25,#1,False,False,73
2,First Stage,05:24,05:41,1657739064850.3438,1657739081855.2664,1657739058702.886,17.004922607421875,a-2-1,14,2,plain,b-c-p-z,Monster Hunter,#1,21,6,#1,False,False,89
2,Fourth Stage,05:57,06:07,1657739098372.6738,1657739107888.4214,1657739092263.1968,9.51574755859375,a-3-1,15,3,plain,b-c-p-z,Fourth Stage,#1,5,5,#1,False,True,98
2,Best Humanity,06:18,06:28,1657739119806.3682,1657739127967.2463,1657739115599.1313,8.160878173828126,a-4-1,16,4,plain,b-c-p-z,Best Humanity,#1,27,27,#1,False,True,69
2,Water Diviner,06:39,06:53,1657739140138.5369,1657739153959.0562,1657739134504.1565,13.820519287109375,m-1-1,17,1,zebra,b-c-p-z,Running Night,#1,19,12,#1,False,False,55
2,Fantastic Four,07:13,07:27,1657739173883.1758,1657739188463.9993,1657739168047.2695,14.580823486328125,m-2-1,18,2,zebra,b-c-p-z,Fantastic Four,#1,21,21,#1,False,True,65
2,Water Diviner,07:45,07:57,1657739206852.2249,1657739217609.9177,1657739202008.045,10.75769287109375,m-3-1,19,3,zebra,b-c-p-z,Water Diviner,#1,19,19,#1,False,True,64
2,About Elly,08:17,08:30,1657739237354.948,1657739250158.8042,1657739230599.3357,12.803856201171875,m-4-1,20,4,zebra,b-c-p-z,About Elly,#1,16,16,#1,False,True,59
2,Hard,16:27,17:00,1657739727411.623,1657739760045.113,1657739700911.3972,32.633489990234374,ca-1-2,21,1,bar,b-c-p-z,Hard,#7,1,1,#7,False,True,53
2,Rating,17:11,17:21,1657739772353.3574,1657739782182.4248,1657739765190.3325,9.8290673828125,ca-2-2,22,2,bar,b-c-p-z,Rating,#11,1,1,#11,False,True,48
2,Hard,17:34,17:48,1657739795568.6365,1657739808710.4055,1657739788174.2212,13.14176904296875,ca-3-2,23,3,bar,b-c-p-z,Hard,#7,1,1,#7,False,True,53
2,Almond,18:01,18:10,1657739822235.3015,1657739831463.1426,1657739814797.2393,9.227841064453125,ca-4-2,24,4,bar,b-c-p-z,Almond,#5,1,1,#5,False,True,38
2,Sugars,18:25,18:38,1657739845808.193,1657739858085.5215,1657739838013.2812,12.277328369140625,ce-1-2,25,1,color,b-c-p-z,Sugars,#8,1,1,#8,False,True,53
2,Calories,18:51,19:02,1657739872327.047,1657739882767.6013,1657739865517.4285,10.44055419921875,ce-2-2,26,2,color,b-c-p-z,Calories,#4,1,1,#4,False,True,92
2,Fat,19:13,19:22,1657739893979.1675,1657739902885.533,1657739888173.221,8.906365478515625,ce-3-2,27,3,color,b-c-p-z,Fat,#2,1,1,#2,False,True,47
2,Sugars,19:32,19:46,1657739913553.5215,1657739927533.4026,1657739909117.119,13.979881103515625,ce-4-2,28,4,color,b-c-p-z,Sugars,#8,1,1,#8,False,True,59
2,Ranked,19:58,20:12,1657739939342.3245,1657739953005.6545,1657739933477.1309,13.663330078125,a-1-2,29,1,plain,b-c-p-z,On-Hold,#4,1,1,#10,False,False,61
2,Popularity,20:26,20:35,1657739967018.9187,1657739975903.9426,1657739958717.0974,8.88502392578125,a-2-2,30,2,plain,b-c-p-z,Plan to Watch,#5,1,1,#12,False,False,71
2,Favorites,20:48,20:59,1657739989112.3503,1657740000037.9697,1657739981862.4216,10.925619384765625,a-3-2,31,3,plain,b-c-p-z,Favorites,#7,1,1,#7,False,True,69
2,Dropped,21:11,21:20,1657740012519.9275,1657740021277.8762,1657740007198.6135,8.75794873046875,a-4-2,32,4,plain,b-c-p-z,Dropped,#11,1,1,#11,False,True,71
2,Rotten Tomatoes,21:33,21:43,1657740034670.2612,1657740044157.6245,1657740029236.6785,9.48736328125,m-1-2,33,1,zebra,b-c-p-z,Rotten Tomatoes,#2,1,1,#2,False,True,99
2,Netflix,21:58,22:05,1657740059125.48,1657740066341.8337,1657740053494.3577,7.216353759765625,m-2-2,34,2,zebra,b-c-p-z,Netflix,#5,1,1,#5,False,True,68
2,Hulu,22:17,22:29,1657740077655.888,1657740089501.842,1657740072461.1846,11.8459541015625,m-3-2,35,3,zebra,b-c-p-z,Hulu,#7,1,1,#7,False,True,65
2,Metacritic,22:42,22:52,1657740103100.9597,1657740113077.2263,1657740096901.3096,9.9762666015625,m-4-2,36,4,zebra,b-c-p-z,Metacritic,#4,1,1,#4,False,True,67
2,24,29:16,29:24,1657740496706.9167,1657740504629.768,1657740483124.797,7.922851318359375,ca-1-3,37,1,bar,b-c-p-z,24,#8,11,11,#8,False,True,24
2,17,29:38,29:44,1657740518957.0044,1657740525030.0024,1657740512134.6924,6.072998046875,ca-2-3,38,2,bar,b-c-p-z,17,#6,7,7,#6,False,True,17
